id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0Zw4llKeB35SIKASy1aLtV,0.00746,0.68,0.849,0.0694,0.108,-5.295,0.0444,106.486,0.806
5DjNm2iw6u1rwdPWVustEx,0.582,0.0785,0.316,0.957,0.151,-14.861,0.0412,68.815,0.0498
6ARQSpE9Hhu2U7bZfKNRzX,0.78,0.243,0.216,0.931,0.0751,-16.987,0.043,139.484,0.157
5C0DGc7M86XqwMRPeusb8r,0.978,0.13,0.00622,0.948,0.121,-32.65,0.0413,74.941,0.0363
5v1IWGdPgD2oeWIpm8XcWe,0.143,0.186,0.418,0.934,0.202,-9.839,0.0383,120.13,0.257
3qF9WLEnhK9cX5ol9sNut0,0.866,0.144,0.174,0.95,0.137,-18.423,0.0399,74.149,0.0347
2TQUwneF44GKF53znZvU9E,0.975,0.617,0.084,0.914,0.104,-25.55,0.0313,132.016,0.0398
4LV1tfvAUEMxlhrMgWZ8Mh,0.927,0.224,0.0669,0.945,0.0914,-36.061,0.0401,72.732,0.0619
6UrBPZ1zQTheV7sn9PuZif,0.903,0.419,0.406,0.434,0.116,-10.795,0.0381,168.066,0.0657
6fLdGQLerhJ5GfRaDtUeMv,0.946,0.256,0.163,0.917,0.112,-19.969,0.0355,114.954,0.0371
5iSQuk17h2vzbj7UP87Tmw,0.626,0.401,0.321,0.00833,0.0666,-13.731,0.0324,134.688,0.159
6kUjLo3w52Jr3PizmsXJfL,0.884,0.348,0.283,0.863,0.0872,-23.431,0.0432,102.791,0.148
7jP3ujnhskTEljh8Z1ZoME,0.535,0.462,0.394,0.886,0.0931,-12.126,0.0363,99.938,0.097
7rpDX6ZPO0bQn9kLuAgj2P,0.749,0.0687,0.376,0.95,0.0781,-15.82,0.0422,56.643,0.0553
5YmQqaXfFcFUjkbCjEe4QK,0.942,0.144,0.0516,0.618,0.0998,-33.139,0.0388,139.156,0.0338
4VkJa0cDx4JTroJ693J0B2,0.35,0.572,0.495,0.807,0.0953,-16.732,0.0402,103.428,0.311
5D3ulmylqbHaIwLHykdmZK,0.249,0.453,0.792,0.876,0.176,-13.768,0.0448,90.01,0.152
